2025-05-22 17:14:29 | INFO | scraper | Successfully connected to MongoDB
2025-05-22 17:14:29 | INFO | scraper | Number of processors: 22
2025-05-22 17:14:29 | INFO | scraper | Created 24 chunks from 261 valid trading days
2025-05-22 17:14:29 | INFO | scraper | Processing date: 01/01/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 01/16/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 02/02/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 02/17/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 03/18/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 03/03/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 04/19/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 04/02/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 05/04/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 05/19/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 06/03/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 07/05/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 06/18/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 07/20/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 09/03/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 08/04/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 08/19/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 09/20/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 10/20/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 10/05/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 11/04/2020, starting at page 1
2025-05-22 17:14:29 | INFO | scraper | Processing date: 11/19/2020, starting at page 1
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 04/19/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 05/19/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 01/01/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 06/03/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 06/18/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 05/04/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 04/02/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 02/02/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 08/04/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 03/03/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 11/04/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 01/16/2020
2025-05-22 17:14:30 | INFO | scraper | Fetched page 1 for 03/18/2020
2025-05-22 17:14:31 | INFO | scraper | Fetched page 1 for 07/20/2020
2025-05-22 17:14:31 | INFO | scraper | Fetched page 1 for 11/19/2020
2025-05-22 17:14:31 | INFO | scraper | Fetched page 1 for 09/20/2020
2025-05-22 17:14:31 | INFO | scraper | Fetched page 1 for 10/05/2020
2025-05-22 17:14:31 | ERROR | scraper | Could not determine total pages for 06/03/2020
2025-05-22 17:14:31 | INFO | scraper | Fetched page 1 for 02/17/2020
2025-05-22 17:14:31 | ERROR | scraper | Could not determine total pages for 06/18/2020
2025-05-22 17:14:32 | ERROR | scraper | Could not determine total pages for 05/04/2020
2025-05-22 17:14:32 | ERROR | scraper | Could not determine total pages for 08/04/2020
2025-05-22 17:14:32 | ERROR | scraper | Could not determine total pages for 04/19/2020
2025-05-22 17:14:32 | ERROR | scraper | Could not determine total pages for 05/19/2020
2025-05-22 17:14:32 | INFO | scraper | Processing date: 06/04/2020, starting at page 1
2025-05-22 17:14:32 | INFO | scraper | Fetched page 1 for 10/20/2020
2025-05-22 17:14:32 | INFO | scraper | Fetched page 1 for 07/05/2020
2025-05-22 17:14:32 | INFO | scraper | Fetched page 1 for 08/19/2020
2025-05-22 17:14:32 | INFO | scraper | Processing date: 06/19/2020, starting at page 1
2025-05-22 17:14:33 | INFO | scraper | Updated date collection for 03/03/2020: Page 1, Failed pages: []
2025-05-22 17:14:33 | INFO | scraper | Updated date collection for 01/01/2020: Page 1, Failed pages: []
2025-05-22 17:14:33 | INFO | scraper | Processing date: 05/05/2020, starting at page 1
2025-05-22 17:14:33 | INFO | scraper | Processing date: 08/05/2020, starting at page 1
2025-05-22 17:14:33 | INFO | scraper | Processing date: 04/20/2020, starting at page 1
2025-05-22 17:14:33 | INFO | scraper | Processing date: 05/20/2020, starting at page 1
2025-05-22 17:14:33 | INFO | scraper | Fetched page 1 for 01/01/2020
2025-05-22 17:14:33 | INFO | scraper | Updated date collection for 07/20/2020: Page 1, Failed pages: []
2025-05-22 17:14:34 | INFO | scraper | Fetched page 1 for 03/03/2020
2025-05-22 17:14:34 | INFO | scraper | Updated date collection for 09/20/2020: Page 1, Failed pages: []
2025-05-22 17:14:34 | INFO | scraper | Fetched page 1 for 07/20/2020
2025-05-22 17:14:34 | ERROR | scraper | Could not determine total pages for 04/02/2020
2025-05-22 17:14:35 | INFO | scraper | Updated date collection for 10/05/2020: Page 1, Failed pages: []
2025-05-22 17:14:35 | INFO | scraper | Processing date: 04/03/2020, starting at page 1
2025-05-22 17:14:36 | INFO | scraper | Fetched page 1 for 09/20/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 1 for 10/05/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 1 for 06/04/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 1 for 06/19/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 2 for 01/01/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 1 for 04/20/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 1 for 05/20/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 1 for 05/05/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 3 for 01/01/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 3 for 03/03/2020
2025-05-22 17:14:36 | ERROR | scraper | Could not determine total pages for 06/04/2020
2025-05-22 17:14:36 | ERROR | scraper | Could not determine total pages for 06/19/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 2 for 07/20/2020
2025-05-22 17:14:36 | INFO | scraper | Fetched page 5 for 03/03/2020
2025-05-22 17:14:36 | ERROR | scraper | Could not determine total pages for 04/20/2020
2025-05-22 17:14:36 | ERROR | scraper | Could not determine total pages for 05/20/2020
2025-05-22 17:14:36 | ERROR | scraper | Could not determine total pages for 05/05/2020
2025-05-22 17:14:37 | INFO | scraper | Fetched page 1 for 04/03/2020
2025-05-22 17:14:37 | INFO | scraper | Fetched page 2 for 10/05/2020
2025-05-22 17:14:37 | INFO | scraper | Fetched page 2 for 03/03/2020
2025-05-22 17:14:37 | INFO | scraper | Fetched page 1 for 09/03/2020
2025-05-22 17:14:37 | ERROR | scraper | Could not determine total pages for 04/03/2020
2025-05-22 17:14:37 | INFO | scraper | Fetched page 2 for 09/20/2020
2025-05-22 17:14:37 | INFO | scraper | Fetched page 3 for 10/05/2020
2025-05-22 17:14:37 | INFO | scraper | Processing date: 06/05/2020, starting at page 1
2025-05-22 17:14:37 | INFO | scraper | Processing date: 06/20/2020, starting at page 1
2025-05-22 17:14:37 | INFO | scraper | Updated date collection for 03/18/2020: Page 1, Failed pages: []
2025-05-22 17:14:37 | INFO | scraper | Processing date: 04/21/2020, starting at page 1
2025-05-22 17:14:37 | INFO | scraper | Processing date: 05/21/2020, starting at page 1
2025-05-22 17:14:37 | INFO | scraper | Processing date: 05/06/2020, starting at page 1
2025-05-22 17:14:38 | INFO | scraper | Fetched page 1 for 08/05/2020
2025-05-22 17:14:38 | INFO | scraper | Fetched page 4 for 03/03/2020
2025-05-22 17:14:38 | INFO | scraper | Fetched page 4 for 07/20/2020
2025-05-22 17:14:38 | INFO | scraper | Fetched page 5 for 10/05/2020
2025-05-22 17:14:38 | INFO | scraper | Fetched page 1 for 03/18/2020
2025-05-22 17:14:38 | INFO | scraper | Updated date collection for 07/05/2020: Page 1, Failed pages: []
2025-05-22 17:14:38 | INFO | scraper | Updated date collection for 10/20/2020: Page 1, Failed pages: []
2025-05-22 17:14:38 | INFO | scraper | Updated date collection for 08/19/2020: Page 1, Failed pages: []
2025-05-22 17:14:38 | INFO | scraper | Fetched page 4 for 09/20/2020
2025-05-22 17:14:38 | INFO | scraper | Processing date: 04/04/2020, starting at page 1
2025-05-22 17:14:38 | INFO | scraper | Updated date collection for 11/04/2020: Page 1, Failed pages: []
2025-05-22 17:14:38 | INFO | scraper | Fetched page 1 for 07/05/2020
2025-05-22 17:14:38 | INFO | scraper | Fetched page 5 for 07/20/2020
2025-05-22 17:14:38 | INFO | scraper | Fetched page 1 for 10/20/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 1 for 08/19/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 4 for 10/05/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 5 for 03/18/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 1 for 11/04/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 1 for 06/05/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 3 for 07/20/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 1 for 04/21/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 1 for 05/06/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 1 for 05/21/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 1 for 06/20/2020
2025-05-22 17:14:39 | INFO | scraper | Fetched page 2 for 03/18/2020
2025-05-22 17:14:40 | INFO | scraper | Updated date collection for 02/02/2020: Page 1, Failed pages: []
2025-05-22 17:14:40 | INFO | scraper | Fetched page 3 for 08/19/2020
2025-05-22 17:14:40 | INFO | scraper | Updated date collection for 01/16/2020: Page 1, Failed pages: []
2025-05-22 17:14:40 | INFO | scraper | Fetched page 4 for 03/18/2020
2025-05-22 17:14:40 | ERROR | scraper | Could not determine total pages for 06/05/2020
2025-05-22 17:14:40 | ERROR | scraper | Could not determine total pages for 04/21/2020
2025-05-22 17:14:40 | ERROR | scraper | Could not determine total pages for 05/21/2020
2025-05-22 17:14:40 | ERROR | scraper | Could not determine total pages for 05/06/2020
2025-05-22 17:14:40 | INFO | scraper | Fetched page 3 for 11/04/2020
2025-05-22 17:14:40 | INFO | scraper | Fetched page 5 for 08/19/2020
2025-05-22 17:14:40 | INFO | scraper | Fetched page 1 for 04/04/2020
2025-05-22 17:14:40 | INFO | scraper | Fetched page 3 for 03/18/2020
2025-05-22 17:14:40 | INFO | scraper | Fetched page 1 for 01/16/2020
2025-05-22 17:14:40 | ERROR | scraper | Could not determine total pages for 06/20/2020
2025-05-22 17:14:40 | INFO | scraper | Fetched page 4 for 11/04/2020
2025-05-22 17:14:40 | INFO | scraper | Fetched page 2 for 10/20/2020
2025-05-22 17:14:41 | INFO | scraper | Fetched page 1 for 02/02/2020
2025-05-22 17:14:41 | INFO | scraper | Fetched page 2 for 08/19/2020
2025-05-22 17:14:41 | INFO | scraper | Updated date collection for 11/19/2020: Page 1, Failed pages: []
2025-05-22 17:14:41 | INFO | scraper | Fetched page 3 for 07/05/2020
2025-05-22 17:14:41 | ERROR | scraper | Could not determine total pages for 04/04/2020
2025-05-22 17:14:41 | INFO | scraper | Updated date collection for 09/03/2020: Page 1, Failed pages: []
2025-05-22 17:14:41 | INFO | scraper | Fetched page 2 for 11/04/2020
2025-05-22 17:14:41 | INFO | scraper | Processing date: 06/06/2020, starting at page 1
2025-05-22 17:14:41 | INFO | scraper | Processing date: 04/22/2020, starting at page 1
2025-05-22 17:14:41 | INFO | scraper | Processing date: 05/22/2020, starting at page 1
2025-05-22 17:14:41 | INFO | scraper | Processing date: 05/07/2020, starting at page 1
2025-05-22 17:14:41 | INFO | scraper | Fetched page 4 for 08/19/2020
2025-05-22 17:14:41 | INFO | scraper | Processing date: 06/21/2020, starting at page 1
2025-05-22 17:14:41 | INFO | scraper | Fetched page 5 for 09/20/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 2 for 07/05/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 5 for 02/02/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 5 for 11/04/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 4 for 07/05/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 4 for 01/16/2020
2025-05-22 17:14:42 | INFO | scraper | Processing date: 04/05/2020, starting at page 1
2025-05-22 17:14:42 | INFO | scraper | Fetched page 5 for 10/20/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 3 for 02/02/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 1 for 11/19/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 5 for 01/16/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 4 for 10/20/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 5 for 07/05/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 1 for 09/03/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 2 for 02/02/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 2 for 01/16/2020
2025-05-22 17:14:42 | INFO | scraper | Fetched page 3 for 10/20/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 3 for 09/20/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 1 for 04/22/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 1 for 05/22/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 1 for 05/07/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 2 for 09/03/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 1 for 06/21/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 3 for 01/16/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 4 for 02/02/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 5 for 11/19/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 1 for 04/05/2020
2025-05-22 17:14:43 | ERROR | scraper | Could not determine total pages for 05/22/2020
2025-05-22 17:14:43 | ERROR | scraper | Could not determine total pages for 04/22/2020
2025-05-22 17:14:43 | INFO | scraper | Fetched page 4 for 09/03/2020
2025-05-22 17:14:44 | ERROR | scraper | Could not determine total pages for 04/05/2020
2025-05-22 17:14:44 | INFO | scraper | Fetched page 5 for 09/03/2020
2025-05-22 17:14:44 | INFO | scraper | Fetched page 2 for 11/19/2020
2025-05-22 17:14:44 | INFO | scraper | Processing date: 05/23/2020, starting at page 1
2025-05-22 17:14:44 | INFO | scraper | Processing date: 04/23/2020, starting at page 1
2025-05-22 17:14:45 | INFO | scraper | Processing date: 04/06/2020, starting at page 1
2025-05-22 17:14:45 | INFO | scraper | Fetched page 3 for 09/03/2020
2025-05-22 17:14:45 | ERROR | scraper | Could not determine total pages for 06/21/2020
2025-05-22 17:14:45 | INFO | scraper | Fetched page 1 for 05/23/2020
2025-05-22 17:14:45 | INFO | scraper | Fetched page 3 for 11/19/2020
2025-05-22 17:14:45 | ERROR | scraper | Could not determine total pages for 05/07/2020
2025-05-22 17:14:45 | INFO | scraper | Fetched page 1 for 04/23/2020
2025-05-22 17:14:45 | ERROR | scraper | Could not determine total pages for 05/23/2020
2025-05-22 17:14:45 | INFO | scraper | Updated date collection for 02/17/2020: Page 1, Failed pages: []
2025-05-22 17:14:46 | ERROR | scraper | Could not determine total pages for 04/23/2020
2025-05-22 17:14:46 | INFO | scraper | Fetched page 1 for 06/06/2020
2025-05-22 17:14:46 | INFO | scraper | Fetched page 1 for 04/06/2020
